epoch,identity,train_mean,train_std,valid_mean,valid_std,test_mean,test_std
1,4,0.22286934022152255,0.07725141990830299,0.1484375,0.1484375,0.1015625,0.1015625
2,4,0.4635779355001419,0.023470971136856634,0.078125,0.078125,0.0703125,0.0703125
3,4,0.5898223748067354,0.019506407575315996,0.2421875,0.2421875,0.2734375,0.2734375
4,4,0.5924638461329823,0.021452381965888424,0.41122159361839294,0.22940340638160706,0.4339488670229912,0.20667613297700882
5,4,0.6980218762953426,0.006761618575720272,0.6917613744735718,0.03551137447357178,0.7677556872367859,0.09588068723678589
6,4,0.6746612630639527,0.0208372428048716,0.7443181872367859,0.11931818723678589,0.7521306872367859,0.11150568723678589
7,4,0.7012141751925683,0.00990506551475443,0.3863636404275894,0.11363635957241058,0.42471590638160706,0.10653409361839294
8,4,0.6878530183444708,0.019853691324762772,0.5042613744735718,0.22301137447357178,0.5724431872367859,0.2911931872367859
9,4,0.7637462676020679,0.009587994889329812,0.65625,0.34375,0.6178977489471436,0.33664774894714355
10,4,0.7361444661436736,0.006622683914470238,0.5646306872367859,0.2990056872367859,0.5646306872367859,0.2990056872367859
11,4,0.7478304412233292,0.030051609743068593,0.5,0.5,0.5,0.5
12,4,0.7641360606132284,0.01648973963101716,0.7002840936183929,0.018465906381607056,0.7379261553287506,0.03480115532875061
13,4,0.7880436706269849,0.016727273416660332,0.6505681872367859,0.2130681872367859,0.6740056872367859,0.1896306872367859
14,4,0.7908529300624552,0.019491920807858405,0.7237215936183929,0.041903406381607056,0.7926136553287506,0.01988634467124939
15,4,0.8187537279899911,0.008658237017978207,0.5625,0.4375,0.5703125,0.4296875
16,4,0.8387633880924069,0.016745217314253845,0.8011363744735718,0.07386362552642822,0.7855113744735718,0.05823862552642822
17,4,0.8510745649453558,0.008637002399935437,0.8849431872367859,0.02130681276321411,0.8849431872367859,0.02130681276321411
18,4,0.8494074288289867,0.014774020999246113,0.8473011553287506,0.07457384467124939,0.8245738744735718,0.09730112552642822
19,4,0.8765921871617645,0.010232599388374376,0.5561079680919647,0.14701703190803528,0.5333806872367859,0.1697443127632141
20,4,0.8730888317571753,0.009329540528184547,0.8671875,0.1328125,0.8828125,0.1171875
21,4,0.8834520321410599,0.019376383224300235,0.875,0.125,0.875,0.125
22,4,0.8951719994447307,0.008460967337560972,0.8529829680919647,0.05610796809196472,0.8373579680919647,0.07173296809196472
23,4,0.8844330225816619,0.013186540161123007,0.8842329680919647,0.02485796809196472,0.8920454680919647,0.01704546809196472
24,4,0.9159864249517012,0.013296975105766095,0.8288352489471436,0.12571024894714355,0.8444602489471436,0.11008524894714355
25,4,0.9112291050482931,0.011055098073733763,0.8231534361839294,0.004971563816070557,0.8160511553287506,0.04332384467124939
26,4,0.8915055612677989,0.011410167667660417,0.8835227489471436,0.07102274894714355,0.8678977489471436,0.08664774894714355
27,4,0.8975558125473082,0.008038006565426506,0.8536931872367859,0.009943187236785889,0.8607954680919647,0.04829546809196472
28,4,0.9197859883028386,0.008058549947424063,0.9147727489471436,0.039772748947143555,0.9069602489471436,0.047585248947143555
29,4,0.9378859548626473,0.006205190639187057,0.9083806872367859,0.04474431276321411,0.8927556872367859,0.02911931276321411
30,4,0.9205256069012988,0.01801985474371642,0.9069602489471436,0.047585248947143555,0.8686079680919647,0.04048296809196472
31,4,0.9352442251798656,0.01616604002409908,0.8622159361839294,0.04403406381607056,0.9005681872367859,0.03693181276321411
32,4,0.9596164897205602,0.00956534122717302,0.7940340936183929,0.11221590638160706,0.7634943127632141,0.1271306872367859
33,4,0.955410309143949,0.009594387820463027,0.8394886553287506,0.06676134467124939,0.8394886553287506,0.06676134467124939
34,4,0.9556147674412636,0.014050368842460975,0.703125,0.296875,0.6953125,0.3046875
35,4,0.9545350450850912,0.005857245296117357,0.7663352489471436,0.18821024894714355,0.7279829680919647,0.18110796809196472
36,4,0.9466144626149526,0.010609066163122348,0.7336647808551788,0.18821021914482117,0.6725852340459824,0.21803976595401764
37,4,0.9552536350456381,0.005790587050704936,0.8849431872367859,0.02130681276321411,0.8473011553287506,0.07457384467124939
38,4,0.9499216562509344,0.004587264649962226,0.7038352489471436,0.25071024894714355,0.7116477489471436,0.24289774894714355
39,4,0.9503480544110589,0.008756105213137074,0.7585227489471436,0.19602274894714355,0.7272727489471436,0.22727274894714355
40,4,0.9705485419536389,0.0015410007367700797,0.6803977340459824,0.22585226595401764,0.6882102340459824,0.23366476595401764
