epoch,train_mean,valid_mean,test_mean,train_std,valid_std,test_std
1,0.26710300660009495,0.20691288014252981,0.17400568226973212,0.010375356717217026,0.10444017705027794,0.07332444548595751
2,0.46176489023438977,0.3719223489363988,0.3638731042544047,0.09658630562461126,0.10152413753535001,0.09482767786882053
3,0.565724551651241,0.40553977837165195,0.4079071953892708,0.06546198075809918,0.1622098631048728,0.1764018597258212
4,0.6012111340733631,0.4375000024835269,0.4275568202137947,0.02580347932749436,0.06678654616307712,0.0593992370423823
5,0.6378158604562548,0.6238163014252981,0.6339962283770243,0.0176413882320036,0.031663356627611265,0.01375144878730024
6,0.6494389774324477,0.5987216060360273,0.5909091060360273,0.002271621028960689,0.10523514576826729,0.1103986649429602
7,0.6663350103823035,0.5390625099341074,0.5108901510636011,0.03711625375604129,0.09674224252292032,0.11256050074511813
8,0.6964537745438202,0.530539778371652,0.54024621595939,0.020972924565606704,0.1606401653429667,0.18601749262396589
9,0.7322397211901507,0.5741003851095835,0.5487689475218455,0.0419400172476835,0.053105299798306034,0.07481885448460969
10,0.7548753595466436,0.6889204680919647,0.7170928219954172,0.015438957906964425,0.043193656264885895,0.0633161029909385
11,0.7850398269617452,0.646780307094256,0.6261837184429169,0.03058302814037543,0.08670269041228194,0.08653186239183776
12,0.7939285776178217,0.6988636453946432,0.6938920517762502,0.013222802905373962,0.06479048913433888,0.0771264581321777
13,0.8246888845734267,0.6934185723463694,0.6957859943310419,0.018626261106962895,0.07058180403277176,0.05646889950092002
14,0.8345379021480986,0.6602746297915777,0.6548295517762502,0.016286427637116855,0.13650700729787493,0.14030540392605
15,0.8412000341395953,0.6233428219954172,0.6335227390130361,0.03543161559592135,0.07572131410903048,0.07503576353251518
16,0.8429838955168321,0.6373106141885122,0.6143466010689735,0.025183867088747324,0.13788210126990014,0.1557423411013786
17,0.8385262519667789,0.45643939326206845,0.4640151560306549,0.011298644767933162,0.01468566645819725,0.031402075644189203
18,0.8626144103719202,0.7350852390130361,0.7220644056797028,0.015250652204744865,0.09943857502892377,0.0966784811003457
19,0.8841535207976774,0.8155776560306549,0.802793562412262,0.033414713306451425,0.06176754261795715,0.059682573707047236
20,0.8780299828479313,0.7812500099341074,0.8219697078069051,0.008042328977971424,0.0630490865650793,0.06617533228645614
21,0.8899258853248706,0.7227746347586314,0.7227746347586314,0.02975070735432208,0.15821800230472136,0.1589411227181078
22,0.8986816386583595,0.6091382602850596,0.6117424269517263,0.012047939043631665,0.1862415179404277,0.1723598645300456
23,0.9156714772432024,0.8541666766007742,0.86410986383756,0.014600816353237352,0.04291377617406174,0.03696064524587749
24,0.9375708012502436,0.7133049368858337,0.7362689524888992,0.0086025146207213,0.21140793495031807,0.20525554963315776
25,0.9225826389074486,0.7800663014252981,0.7670454680919647,0.012023226270224443,0.04477750020836566,0.03174644081590354
26,0.9249325135719565,0.7161458457509676,0.7159090961019198,0.0022857909312708853,0.16167549648462062,0.1573576909118294
27,0.9265869482720411,0.8499053120613098,0.8548768957455953,0.01563039972111051,0.032309929566343897,0.041471164487612115
28,0.9325337843254703,0.8693181971708933,0.8567708532015482,0.010000128605779533,0.006687708911082672,0.013603947336578713
29,0.9423362522845774,0.8394886453946432,0.8115530510743459,0.012891087995998994,0.03422383044181176,0.046451015885864644
30,0.9524452373852742,0.7331913014252981,0.7104640205701193,0.009324868457783199,0.09179686605167578,0.09232833543990876
31,0.9470095424885265,0.8619791766007742,0.8416193326314291,0.011182209007115687,0.03147161374106472,0.049216237754272814
32,0.9533387960120546,0.8766572078069051,0.8766572078069051,0.002681392256738411,0.015136713552096715,0.0014593857867155407
33,0.958904469245221,0.8416193226973215,0.8314394056797028,0.008734789355793957,0.061269196806125234,0.0692616345010314
34,0.9664547420961743,0.8619791766007742,0.8695549368858337,0.010184091519809726,0.02465987774031686,0.03711952215974643
35,0.9690468803775278,0.8790246347586314,0.8662405411402384,0.006788783451261497,0.048286160603552085,0.05658489831495994
36,0.9613208420576963,0.9105113744735718,0.8903882702191671,0.015490503900928352,0.012953946914626006,0.02567536450555796
37,0.9738734513919737,0.8056344787279764,0.8110795617103577,0.0128268462042572,0.1448136274996746,0.1273705155554624
38,0.9620213220078448,0.7471591085195541,0.73910986383756,0.01361519539232745,0.12546857702992942,0.12210999630900342
39,0.9653435421489215,0.8773674368858337,0.8747632702191671,0.011582688384402351,0.052704848120743185,0.03145557789791071
40,0.9644212261345708,0.7471591035525004,0.7526041766007742,0.011363541527717035,0.13970490689255446,0.12854960597309037
