epoch,identity,train_mean,train_std,valid_mean,valid_std,test_mean,test_std
1,4,0.2741718459891892,0.02970466896767167,0.3238636404275894,0.051136359572410583,0.22514204680919647,0.13423295319080353
2,4,0.32962691437271985,0.026593077392261785,0.38352273404598236,0.07102273404598236,0.3984375,0.1015625
3,4,0.4742540468065145,0.03208237791427019,0.32741477340459824,0.28196022659540176,0.31960227340459824,0.27414772659540176
4,4,0.5648723048969532,0.010308659150493765,0.34375,0.34375,0.34375,0.34375
5,4,0.6158502632582287,0.013915840760060657,0.6683238744735718,0.05894887447357178,0.6526988744735718,0.07457387447357178
6,4,0.6470284715412713,0.021652156133076254,0.6882102489471436,0.26633524894714355,0.6803977489471436,0.27414774894714355
7,4,0.6151946274131901,0.010541890492409433,0.44034090638160706,0.12215909361839294,0.44034090638160706,0.12215909361839294
8,4,0.6669139117100228,0.013774434839097975,0.35085227340459824,0.30539772659540176,0.33522727340459824,0.28977272659540176
9,4,0.6940481650402949,0.010194491250061109,0.5340909063816071,0.21590909361839294,0.45809659361839294,0.27627840638160706
10,4,0.7334212929534079,0.012690713892014125,0.7301136553287506,0.04261365532875061,0.7223011553287506,0.05042615532875061
11,4,0.7425403918661674,0.00430209193192211,0.7521306872367859,0.11150568723678589,0.7286931872367859,0.1349431872367859
12,4,0.7752388191563843,0.009276238987633226,0.7606534361839294,0.05752843618392944,0.7613636553287506,0.01136365532875061
13,4,0.7986253389202537,0.023045185394204918,0.7578125,0.2421875,0.75,0.25
14,4,0.8136950486491392,0.011087922839534504,0.5738636404275894,0.3011363595724106,0.5731534063816071,0.25497159361839294
15,4,0.791098609926807,0.018138691415377276,0.6732954680919647,0.23579546809196472,0.6576704680919647,0.2514204680919647
16,4,0.8075470274011557,0.023703838858289195,0.8153409361839294,0.0028409361839294434,0.8075284361839294,0.010653436183929443
17,4,0.8466625884093741,0.007192086194825808,0.453125,0.046875,0.42258523404598236,0.03196023404598236
18,4,0.8474834807575958,0.007891755592365261,0.8061079680919647,0.10298296809196472,0.8061079680919647,0.10298296809196472
19,4,0.839648941733236,0.017354965872099476,0.8302556872367859,0.03338068723678589,0.8380681872367859,0.02556818723678589
20,4,0.8666998038221517,0.01917909759478313,0.7492897808551788,0.20383521914482117,0.7720170617103577,0.18110793828964233
21,4,0.8501998767987727,0.018744598121320913,0.8522727489471436,0.10227274894714355,0.8600852489471436,0.09446024894714355
22,4,0.8820935314045323,0.012540522705794997,0.7478693127632141,0.11150568723678589,0.7549715936183929,0.07315340638160706
23,4,0.8966482520016883,0.007620931747489267,0.8536931872367859,0.009943187236785889,0.8686079680919647,0.04048296809196472
24,4,0.9256221215346128,0.008706106402076157,0.4154829680919647,0.006392031908035278,0.44602273404598236,0.00852273404598236
25,4,0.9064339561723384,0.00826043599752999,0.7848011553287506,0.01207384467124939,0.7926136553287506,0.01988634467124939
26,4,0.924203425485569,0.007383044132782497,0.7663352489471436,0.18821024894714355,0.7578125,0.2421875
27,4,0.9278753597887734,0.007389027589774536,0.8458806872367859,0.01775568723678589,0.8536931872367859,0.009943187236785889
28,4,0.9422739897997913,0.006655778408088955,0.8771306872367859,0.013494312763214111,0.8622159361839294,0.04403406381607056
29,4,0.9464292190198844,0.01021579695182091,0.7947443127632141,0.1583806872367859,0.7563920617103577,0.16548293828964233
30,4,0.9568229819937902,0.004600255727369672,0.8622159361839294,0.04403406381607056,0.8401988744735718,0.11292612552642822
31,4,0.9351712159192412,0.01452595582232779,0.8174715936183929,0.13565340638160706,0.7720170617103577,0.18110793828964233
32,4,0.9564450090240709,0.004595402358796261,0.8828125,0.1171875,0.875,0.125
33,4,0.9484685056640777,0.0072688048183565815,0.7549715936183929,0.07315340638160706,0.7400568127632141,0.10369318723678589
34,4,0.9520742803747733,0.004923795208982199,0.8607954680919647,0.04829546809196472,0.8686079680919647,0.04048296809196472
35,4,0.960089203619387,0.0073923736264281765,0.8316761553287506,0.05894884467124939,0.8160511553287506,0.04332384467124939
36,4,0.9399866910425316,0.01453341629131275,0.8927556872367859,0.02911931276321411,0.8551136553287506,0.08238634467124939
37,4,0.9557607367231731,0.006163837881219836,0.6015625,0.3984375,0.6328125,0.3671875
38,4,0.942815015582255,0.014531747926757745,0.7137784361839294,0.10440343618392944,0.6903409361839294,0.12784093618392944
39,4,0.960301913686009,0.005524290246907067,0.8842329680919647,0.02485796809196472,0.8842329680919647,0.02485796809196472
40,4,0.9665864610225773,0.0037815284253052846,0.8018465936183929,0.12002840638160706,0.7713068127632141,0.1349431872367859
