epoch,train_mean,valid_mean,test_mean,train_std,valid_std,test_std
1,0.21851828012438307,0.3015625,0.303125,0.013616543251999621,0.17113476962616336,0.17026232058943636
2,0.3649962663780843,0.24502840936183928,0.24048295468091965,0.03237441194014162,0.04100417108952033,0.0368623693756047
3,0.4619441455604537,0.32244318574666975,0.32059659212827685,0.028822503341336833,0.06904198491567884,0.08560121646506315
4,0.5184591103021108,0.47088068872690203,0.4078125074505806,0.042040281181485846,0.09468904411047821,0.0797498967560506
5,0.5550490542779662,0.5345170557498932,0.46946023106575013,0.02542088611449423,0.11442605360445929,0.10458636418976694
6,0.6243808538334743,0.6100852355360985,0.5127841055393219,0.006256768834536415,0.10481279993628688,0.12649864136621475
7,0.6548373134783422,0.5946022808551789,0.44971591532230376,0.026354007176966385,0.08230721948430082,0.12362558246658084
8,0.6624192877547064,0.6116477370262146,0.5272727340459824,0.030170602891043497,0.11048489049549304,0.03956062585729123
9,0.7201410343641086,0.5279829651117325,0.4697443306446075,0.03243449050069036,0.10452518985581816,0.07772184086866629
10,0.7288459627527173,0.5963068246841431,0.4923295497894287,0.03163497293852027,0.10577818767929352,0.07169765454517636
11,0.7484029173599053,0.656960241496563,0.4640625089406967,0.010365867730695642,0.13878284766612614,0.13056798432484049
12,0.771807333603704,0.7555397748947144,0.5494318246841431,0.010404381732574691,0.04769513572977591,0.028304498183728887
13,0.7925576799382582,0.6639204621315002,0.5004261493682861,0.014900732125606112,0.06254421338709543,0.04668004298215871
14,0.8102292825483122,0.6400568276643753,0.4845170542597771,0.009330630581187847,0.13860274926263502,0.0946425770149855
15,0.8111346851708792,0.7664772808551789,0.537215918302536,0.02535860753455869,0.05415900556549161,0.05309271186927011
16,0.8336967070988923,0.6794034212827682,0.4093750059604645,0.025517843571461245,0.1290188844008649,0.09973634568718912
17,0.8500776808619579,0.5816761493682862,0.36448864042758944,0.011050830088742653,0.15536487865147852,0.13190769591687834
18,0.8363198442470813,0.7805397808551788,0.5134943306446076,0.0336376463560796,0.0756116889775047,0.07859235476407334
19,0.85706615875572,0.7437500119209289,0.570028418302536,0.02216268118516902,0.14604967022057472,0.06641987970078277
20,0.8793342156590974,0.7923295617103576,0.5346590995788574,0.015743449953001608,0.051216399878923145,0.015549920193506482
21,0.8890588114494797,0.8353693306446075,0.5803977429866791,0.024031115944117405,0.06829182261250925,0.06175204485866475
22,0.9012027640656417,0.671306824684143,0.4840909123420715,0.010614266441685479,0.16160591275495187,0.1042226490874341
23,0.8970636410614935,0.7379261493682862,0.5544034242630005,0.025579263006430014,0.13130794193012396,0.03130031324991121
24,0.8881313653066133,0.774715918302536,0.5298295557498932,0.017298954758010465,0.0800024937261847,0.07001126963812349
25,0.9119429116170064,0.8367897808551789,0.5803977370262146,0.007319674895560736,0.03160120365370843,0.05513742145459765
26,0.9145155681143631,0.8740056991577149,0.5612216055393219,0.014638565233126056,0.04087751007871207,0.10751950420055492
27,0.9134337436903885,0.7860795617103576,0.45752841234207153,0.01116639240198856,0.09382679677981011,0.1065846481775721
28,0.9209390222195803,0.7805397808551788,0.538778418302536,0.014214050173337805,0.13809200003753883,0.11496085422042594
29,0.9303303164410032,0.8089488744735718,0.4954545542597771,0.015520008930335161,0.07439711765936718,0.09099849198037428
30,0.93314954227878,0.7651988685131073,0.5174716040492058,0.012841108034975799,0.13752509414336792,0.1178237735594389
31,0.9415771429475737,0.820028418302536,0.5319602429866791,0.011076972650254436,0.09268463764984358,0.1350903821630691
32,0.9392665043834036,0.8508522868156433,0.41448864340782166,0.01019345385511341,0.038286463673108326,0.11870582032419114
33,0.9426706215432145,0.8403409242630004,0.5981534242630004,0.009855003750046753,0.08087040613706455,0.0659057289917573
34,0.9463560674251692,0.8261363744735718,0.5127841040492058,0.015571874957186663,0.13380154093548774,0.1409238431956379
35,0.9520206623180275,0.8387784242630005,0.4681818261742592,0.003444851364888967,0.13174132161480304,0.2042421046271954
36,0.9509221250942451,0.8620738804340362,0.5613636434078216,0.00439761519146624,0.10294464184465019,0.07965774884436601
37,0.9528992987716466,0.9076704740524292,0.6123579680919647,0.013201314422212642,0.02691377016198547,0.04372923654144996
38,0.9497478007911011,0.8213068217039108,0.4585227400064468,0.003968555039282161,0.09111371656069912,0.11550017019668365
39,0.9490771208758698,0.8762784212827682,0.5007102340459824,0.01642083482438665,0.10220503630380678,0.10735949058319891
40,0.9585864581698154,0.8705966055393219,0.5409091040492058,0.011594594984511417,0.04984844511230036,0.05589556697575455
