epoch,train_mean,valid_mean,test_mean,train_std,valid_std,test_std
1,0.2970334762741359,0.231640625,0.231640625,0.01843413296057703,0.01015625,0.01015625
2,0.5045103872798609,0.2296875,0.23046875,0.0398263919748868,0.011089898098889368,0.017815241017174032
3,0.5857479297429713,0.223828125,0.2128551136702299,0.03828075578086321,0.015058074427653426,0.012668850051928433
4,0.6329147675961415,0.5262428998947144,0.517009949684143,0.02399174344039328,0.037380057669790474,0.01829728073558176
5,0.6851506873546196,0.5048295497894287,0.4844105184078217,0.037510768649570835,0.0435416812732045,0.03909853894607999
6,0.707755603451233,0.547656261920929,0.46669035255908964,0.03030587945212029,0.19714579680608765,0.14363148658829558
7,0.7347244451044036,0.54428267814219,0.4170099522918463,0.03018732067511513,0.1232283043088254,0.09742021183776461
8,0.7580716671714278,0.6246448993682862,0.47961648404598234,0.026226463554444943,0.08140960687710848,0.0579481304774879
9,0.7825030210794739,0.535369322821498,0.4198153469711542,0.026304697527699906,0.08677908356358503,0.09065882368686591
10,0.8015725779928097,0.7303977370262146,0.5329545557498931,0.019233070539346114,0.0768952291955984,0.060488749938149323
11,0.8260082246752708,0.5579545557498932,0.33046875819563865,0.020786832204989523,0.08918116097551924,0.09446799671033544
12,0.8441074800846191,0.634694617986679,0.5397017180919648,0.01633525686263626,0.10274687766230636,0.05509729918704831
13,0.8519362594502413,0.6589843809604645,0.49442472457885744,0.026654619587428575,0.1318761092809874,0.041490825159621186
14,0.8807326429320346,0.6529119461774826,0.4634233027696609,0.023820992579037664,0.07918114069187203,0.08199542596295217
15,0.8838804414822057,0.7361505806446076,0.5173650622367859,0.017687968249666654,0.06997613620525982,0.03782608903050834
16,0.8969043659660733,0.7190696179866791,0.5358664870262146,0.017003305597862534,0.11521516903608403,0.10322311178792137
17,0.9095065717550439,0.7033025652170182,0.376882104575634,0.02303078188614784,0.17250142851399974,0.16231399344646083
18,0.9268438598577262,0.6803977429866791,0.4867542773485184,0.022142826239683642,0.09210664957670323,0.09993497288292297
19,0.9279968401031882,0.8382457494735718,0.4980113714933395,0.0141393376789219,0.038759964067165205,0.15696233382814864
20,0.9363401203750892,0.7630326807498932,0.5560724556446075,0.010864363066365275,0.1343224834323361,0.04301896652128439
21,0.9313701799798576,0.7172230243682861,0.40561080276966094,0.007390318232192936,0.12366842325783325,0.17135290319981056
22,0.9457276891744864,0.777556823194027,0.48955966532230377,0.009522900044174807,0.17520046738856962,0.12726102963129393
23,0.9498310429544572,0.782137793302536,0.5355823934078217,0.009101924894752053,0.1369024115737757,0.1066077859683275
24,0.955267477651948,0.7897017180919648,0.475213086605072,0.01146156958674095,0.12134990078656112,0.111896450795782
25,0.9559099335857869,0.8056107997894287,0.5124644935131073,0.01338840550425313,0.029397832158777712,0.05234806527339719
26,0.9542083580674016,0.8299360990524292,0.4375000074505806,0.013264190150299681,0.06227010774395147,0.1018500962785439
27,0.9632664637183492,0.8601207494735718,0.4889204651117325,0.011173220474530688,0.0591919636549587,0.07640182171945473
28,0.9668721119987408,0.8773437678813935,0.4753196120262146,0.012705942447311594,0.05375797128840943,0.10187399149360601
29,0.9664747641609237,0.7963423401117324,0.40813210867345334,0.004598444127645647,0.10520256255419004,0.17461911790447063
30,0.9731576099945565,0.8387429118156433,0.49620029628276824,0.00941750667458928,0.06407979639935185,0.11581674719387484
31,0.9657771473830342,0.9147372245788574,0.5403054058551788,0.010963898973312616,0.028399638527731613,0.04197886980217043
32,0.9663294552781551,0.8085937619209289,0.4381392128765583,0.009941962515067357,0.06214316009625766,0.13146509479079133
33,0.9733150328268236,0.8202769935131073,0.5230823934078217,0.0012610271426422496,0.0693951845820109,0.09886583468321643
34,0.9746510917523947,0.8654829680919647,0.3391335256397724,0.005137909608978252,0.04237483933539293,0.0847269432018819
35,0.9773114001779536,0.8641335368156433,0.4391335308551788,0.002823408848051745,0.04410268925747752,0.0919645886821275
36,0.9796336942977714,0.852840918302536,0.4600497245788574,0.005077772337682216,0.0728366938338983,0.13082012733224607
37,0.9746218574325557,0.7253906339406967,0.4600497245788574,0.00999880500910666,0.18577571735112713,0.09386944171963857
38,0.9755846231096319,0.8663707494735717,0.4056818217039108,0.011735291934645379,0.06778101151301368,0.09420498816975363
